cycle,Writes,Reads,Hits,Misses,Was hit,Was miss,Writebacks,Access count
25,1,0,0,1,0,1,1,1
31,2,0,0,2,0,1,2,2
39,3,0,1,2,1,0,3,3
47,4,0,1,3,0,1,4,4
55,5,0,2,3,1,0,5,5
63,6,0,3,3,1,0,6,6
71,7,0,4,3,1,0,7,7
79,8,0,4,4,0,1,8,8
87,9,0,5,4,1,0,9,9
95,10,0,6,4,1,0,10,10
103,11,0,7,4,1,0,11,11
111,12,0,7,5,0,1,12,12
119,13,0,8,5,1,0,13,13
127,14,0,9,5,1,0,14,14
135,15,0,10,5,1,0,15,15
143,16,0,10,6,0,1,16,16
151,17,0,11,6,1,0,17,17
159,18,0,12,6,1,0,18,18
167,19,0,13,6,1,0,19,19
175,20,0,13,7,0,1,20,20
183,21,0,14,7,1,0,21,21
191,22,0,15,7,1,0,22,22
199,23,0,16,7,1,0,23,23
207,24,0,16,8,0,1,24,24
215,25,0,17,8,1,0,25,25
223,26,0,18,8,1,0,26,26
231,27,0,19,8,1,0,27,27
239,28,0,19,9,0,1,28,28
247,29,0,20,9,1,0,29,29
255,30,0,21,9,1,0,30,30
263,31,0,22,9,1,0,31,31
287,32,0,23,9,1,0,32,32
293,33,0,23,10,0,1,33,33
301,34,0,24,10,1,0,34,34
309,35,0,25,10,1,0,35,35
317,36,0,26,10,1,0,36,36
325,37,0,26,11,0,1,37,37
333,38,0,27,11,1,0,38,38
341,39,0,28,11,1,0,39,39
349,40,0,29,11,1,0,40,40
357,41,0,29,12,0,1,41,41
365,42,0,30,12,1,0,42,42
373,43,0,31,12,1,0,43,43
381,44,0,32,12,1,0,44,44
389,45,0,32,13,0,1,45,45
397,46,0,33,13,1,0,46,46
405,47,0,34,13,1,0,47,47
413,48,0,35,13,1,0,48,48
421,49,0,35,14,0,1,49,49
429,50,0,36,14,1,0,50,50
437,51,0,37,14,1,0,51,51
445,52,0,38,14,1,0,52,52
453,53,0,38,15,0,1,53,53
461,54,0,39,15,1,0,54,54
469,55,0,40,15,1,0,55,55
477,56,0,41,15,1,0,56,56
485,57,0,41,16,0,1,57,57
493,58,0,42,16,1,0,58,58
501,59,0,43,16,1,0,59,59
509,60,0,44,16,1,0,60,60
517,61,0,45,16,1,0,61,61
525,62,0,46,16,1,0,62,62
549,63,0,47,16,1,0,63,63
556,64,0,47,17,0,1,64,64
565,65,0,48,17,1,0,65,65
574,66,0,49,17,1,0,66,66
583,67,0,50,17,1,0,67,67
592,68,0,50,18,0,1,68,68
601,69,0,51,18,1,0,69,69
610,70,0,52,18,1,0,70,70
619,71,0,53,18,1,0,71,71
628,72,0,53,19,0,1,72,72
637,73,0,54,19,1,0,73,73
646,74,0,55,19,1,0,74,74
655,75,0,56,19,1,0,75,75
664,76,0,56,20,0,1,76,76
673,77,0,57,20,1,0,77,77
682,78,0,58,20,1,0,78,78
691,79,0,59,20,1,0,79,79
700,80,0,59,21,0,1,80,80
709,81,0,60,21,1,0,81,81
718,82,0,61,21,1,0,82,82
727,83,0,62,21,1,0,83,83
736,84,0,62,22,0,1,84,84
745,85,0,63,22,1,0,85,85
754,86,0,64,22,1,0,86,86
763,87,0,65,22,1,0,87,87
772,88,0,65,23,0,1,88,88
781,89,0,66,23,1,0,89,89
790,90,0,67,23,1,0,90,90
799,91,0,68,23,1,0,91,91
808,92,0,68,24,0,1,92,92
817,93,0,69,24,1,0,93,93
826,94,0,70,24,1,0,94,94
835,95,0,71,24,1,0,95,95
844,96,0,71,25,0,1,96,96
853,97,0,72,25,1,0,97,97
862,98,0,73,25,1,0,98,98
871,99,0,74,25,1,0,99,99
891,99,1,75,25,1,0,99,100
902,99,2,76,25,1,0,99,101
924,99,3,77,25,1,0,99,102
946,99,4,77,26,0,1,99,103
968,99,5,78,26,1,0,99,104
990,99,6,79,26,1,0,99,105
1016,99,7,80,26,1,0,99,106
1038,99,8,80,27,0,1,99,107
1060,99,9,81,27,1,0,99,108
1082,99,10,82,27,1,0,99,109
1104,99,11,83,27,1,0,99,110
1130,99,12,83,28,0,1,99,111
1152,99,13,84,28,1,0,99,112
1174,99,14,85,28,1,0,99,113
1196,99,15,86,28,1,0,99,114
1218,99,16,86,29,0,1,99,115
1244,99,17,87,29,1,0,99,116
1266,99,18,88,29,1,0,99,117
1288,99,19,89,29,1,0,99,118
1310,99,20,89,30,0,1,99,119
1332,99,21,90,30,1,0,99,120
1358,99,22,91,30,1,0,99,121
1380,99,23,92,30,1,0,99,122
1402,99,24,92,31,0,1,99,123
1424,99,25,93,31,1,0,99,124
1446,99,26,94,31,1,0,99,125
1472,99,27,95,31,1,0,99,126
1494,99,28,95,32,0,1,99,127
1516,99,29,96,32,1,0,99,128
1538,99,30,97,32,1,0,99,129
1560,99,31,98,32,1,0,99,130
1605,99,32,99,32,1,0,99,131
1616,99,33,99,33,0,1,99,132
1638,99,34,100,33,1,0,99,133
1660,99,35,101,33,1,0,99,134
1682,99,36,102,33,1,0,99,135
1704,99,37,102,34,0,1,99,136
1726,99,38,103,34,1,0,99,137
1752,99,39,104,34,1,0,99,138
1774,99,40,105,34,1,0,99,139
1796,99,41,105,35,0,1,99,140
1818,99,42,106,35,1,0,99,141
1840,99,43,107,35,1,0,99,142
1862,99,44,108,35,1,0,99,143
1888,99,45,108,36,0,1,99,144
1910,99,46,109,36,1,0,99,145
1932,99,47,110,36,1,0,99,146
1954,99,48,111,36,1,0,99,147
1976,99,49,111,37,0,1,99,148
1998,99,50,112,37,1,0,99,149
2024,99,51,113,37,1,0,99,150
2046,99,52,114,37,1,0,99,151
2068,99,53,114,38,0,1,99,152
2090,99,54,115,38,1,0,99,153
2112,99,55,116,38,1,0,99,154
2134,99,56,117,38,1,0,99,155
2160,99,57,117,39,0,1,99,156
2182,99,58,118,39,1,0,99,157
2204,99,59,119,39,1,0,99,158
2226,99,60,120,39,1,0,99,159
2248,99,61,121,39,1,0,99,160
2270,99,62,122,39,1,0,99,161
2315,99,63,123,39,1,0,99,162
2316,99,64,124,39,1,0,99,163
2317,99,65,125,39,1,0,99,164
2333,99,66,126,39,1,0,99,165
2338,99,67,127,39,1,0,99,166
2351,99,68,128,39,1,0,99,167
2356,99,69,129,39,1,0,99,168
2369,99,70,130,39,1,0,99,169
2374,99,71,131,39,1,0,99,170
2387,99,72,132,39,1,0,99,171
2392,99,73,133,39,1,0,99,172
2405,99,74,134,39,1,0,99,173
2410,99,75,135,39,1,0,99,174
2421,100,75,135,40,0,1,100,175
2435,100,76,136,40,1,0,100,176
2440,100,77,137,40,1,0,100,177
2453,100,78,138,40,1,0,100,178
2458,100,79,139,40,1,0,100,179
2471,100,80,140,40,1,0,100,180
2476,100,81,141,40,1,0,100,181
2489,100,82,142,40,1,0,100,182
2494,100,83,143,40,1,0,100,183
2507,100,84,144,40,1,0,100,184
2512,100,85,145,40,1,0,100,185
2523,101,85,146,40,1,0,101,186
2537,101,86,147,40,1,0,101,187
2542,101,87,148,40,1,0,101,188
2555,101,88,149,40,1,0,101,189
2560,101,89,150,40,1,0,101,190
2573,101,90,151,40,1,0,101,191
2578,101,91,152,40,1,0,101,192
2591,101,92,153,40,1,0,101,193
2596,101,93,154,40,1,0,101,194
2609,101,94,155,40,1,0,101,195
2614,101,95,156,40,1,0,101,196
2625,102,95,157,40,1,0,102,197
2639,102,96,158,40,1,0,102,198
2644,102,97,159,40,1,0,102,199
2657,102,98,160,40,1,0,102,200
2662,102,99,161,40,1,0,102,201
2675,102,100,162,40,1,0,102,202
2680,102,101,163,40,1,0,102,203
2693,102,102,164,40,1,0,102,204
2698,102,103,165,40,1,0,102,205
2711,102,104,166,40,1,0,102,206
2716,102,105,167,40,1,0,102,207
2727,103,105,168,40,1,0,103,208
2741,103,106,169,40,1,0,103,209
2746,103,107,170,40,1,0,103,210
2759,103,108,171,40,1,0,103,211
2764,103,109,172,40,1,0,103,212
2777,103,110,173,40,1,0,103,213
2782,103,111,174,40,1,0,103,214
2795,103,112,175,40,1,0,103,215
2800,103,113,176,40,1,0,103,216
2813,103,114,177,40,1,0,103,217
2818,103,115,178,40,1,0,103,218
2829,104,115,178,41,0,1,104,219
2843,104,116,179,41,1,0,104,220
2848,104,117,180,41,1,0,104,221
2861,104,118,181,41,1,0,104,222
2866,104,119,182,41,1,0,104,223
2879,104,120,183,41,1,0,104,224
2884,104,121,184,41,1,0,104,225
2897,104,122,185,41,1,0,104,226
2902,104,123,186,41,1,0,104,227
2915,104,124,187,41,1,0,104,228
2920,104,125,188,41,1,0,104,229
2931,105,125,189,41,1,0,105,230
2954,105,126,190,41,1,0,105,231
2959,105,127,191,41,1,0,105,232
2972,105,128,191,42,0,1,105,233
2977,105,129,192,42,1,0,105,234
2990,105,130,193,42,1,0,105,235
2995,105,131,194,42,1,0,105,236
3008,105,132,195,42,1,0,105,237
3013,105,133,196,42,1,0,105,238
3026,105,134,197,42,1,0,105,239
3031,105,135,198,42,1,0,105,240
3042,106,135,199,42,1,0,106,241
3056,106,136,200,42,1,0,106,242
3061,106,137,201,42,1,0,106,243
3074,106,138,202,42,1,0,106,244
3079,106,139,203,42,1,0,106,245
3092,106,140,204,42,1,0,106,246
3097,106,141,205,42,1,0,106,247
3110,106,142,206,42,1,0,106,248
3115,106,143,207,42,1,0,106,249
3128,106,144,208,42,1,0,106,250
3133,106,145,209,42,1,0,106,251
3144,107,145,210,42,1,0,107,252
3158,107,146,211,42,1,0,107,253
3163,107,147,212,42,1,0,107,254
3176,107,148,213,42,1,0,107,255
3181,107,149,214,42,1,0,107,256
3194,107,150,215,42,1,0,107,257
3199,107,151,216,42,1,0,107,258
3212,107,152,217,42,1,0,107,259
3217,107,153,218,42,1,0,107,260
3230,107,154,219,42,1,0,107,261
3235,107,155,220,42,1,0,107,262
3246,108,155,220,43,0,1,108,263
3260,108,156,221,43,1,0,108,264
3265,108,157,222,43,1,0,108,265
3278,108,158,223,43,1,0,108,266
3283,108,159,224,43,1,0,108,267
3296,108,160,225,43,1,0,108,268
3301,108,161,226,43,1,0,108,269
3314,108,162,227,43,1,0,108,270
3319,108,163,228,43,1,0,108,271
3332,108,164,229,43,1,0,108,272
3337,108,165,230,43,1,0,108,273
3348,109,165,231,43,1,0,109,274
3362,109,166,232,43,1,0,109,275
3367,109,167,233,43,1,0,109,276
3380,109,168,234,43,1,0,109,277
3385,109,169,235,43,1,0,109,278
3398,109,170,236,43,1,0,109,279
3403,109,171,237,43,1,0,109,280
3416,109,172,238,43,1,0,109,281
3421,109,173,239,43,1,0,109,282
3434,109,174,240,43,1,0,109,283
3439,109,175,241,43,1,0,109,284
3450,110,175,242,43,1,0,110,285
3464,110,176,243,43,1,0,110,286
3469,110,177,244,43,1,0,110,287
3482,110,178,245,43,1,0,110,288
3487,110,179,246,43,1,0,110,289
3500,110,180,247,43,1,0,110,290
3505,110,181,248,43,1,0,110,291
3518,110,182,249,43,1,0,110,292
3523,110,183,250,43,1,0,110,293
3536,110,184,251,43,1,0,110,294
3541,110,185,252,43,1,0,110,295
3552,111,185,253,43,1,0,111,296
3575,111,186,253,44,0,1,111,297
3580,111,187,254,44,1,0,111,298
3593,111,188,255,44,1,0,111,299
3598,111,189,256,44,1,0,111,300
3611,111,190,257,44,1,0,111,301
3616,111,191,258,44,1,0,111,302
3629,111,192,259,44,1,0,111,303
3634,111,193,260,44,1,0,111,304
3647,111,194,260,45,0,1,111,305
3652,111,195,261,45,1,0,111,306
3663,112,195,261,46,0,1,112,307
3677,112,196,262,46,1,0,112,308
3682,112,197,263,46,1,0,112,309
3695,112,198,264,46,1,0,112,310
3700,112,199,265,46,1,0,112,311
3713,112,200,266,46,1,0,112,312
3718,112,201,267,46,1,0,112,313
3731,112,202,268,46,1,0,112,314
3736,112,203,269,46,1,0,112,315
3749,112,204,270,46,1,0,112,316
3754,112,205,271,46,1,0,112,317
3765,113,205,272,46,1,0,113,318
3779,113,206,273,46,1,0,113,319
3784,113,207,274,46,1,0,113,320
3797,113,208,275,46,1,0,113,321
3802,113,209,276,46,1,0,113,322
3815,113,210,277,46,1,0,113,323
3820,113,211,278,46,1,0,113,324
3833,113,212,279,46,1,0,113,325
3838,113,213,280,46,1,0,113,326
3851,113,214,281,46,1,0,113,327
3856,113,215,282,46,1,0,113,328
3867,114,215,283,46,1,0,114,329
3881,114,216,284,46,1,0,114,330
3886,114,217,285,46,1,0,114,331
3899,114,218,286,46,1,0,114,332
3904,114,219,287,46,1,0,114,333
3917,114,220,288,46,1,0,114,334
3922,114,221,289,46,1,0,114,335
3935,114,222,290,46,1,0,114,336
3940,114,223,291,46,1,0,114,337
3953,114,224,292,46,1,0,114,338
3958,114,225,293,46,1,0,114,339
3969,115,225,294,46,1,0,115,340
3983,115,226,295,46,1,0,115,341
3988,115,227,296,46,1,0,115,342
4001,115,228,297,46,1,0,115,343
4006,115,229,298,46,1,0,115,344
4019,115,230,299,46,1,0,115,345
4024,115,231,300,46,1,0,115,346
4037,115,232,301,46,1,0,115,347
4042,115,233,302,46,1,0,115,348
4055,115,234,303,46,1,0,115,349
4060,115,235,304,46,1,0,115,350
4071,116,235,304,47,0,1,116,351
4085,116,236,305,47,1,0,116,352
4090,116,237,306,47,1,0,116,353
4103,116,238,307,47,1,0,116,354
4108,116,239,308,47,1,0,116,355
4121,116,240,309,47,1,0,116,356
4126,116,241,310,47,1,0,116,357
4139,116,242,311,47,1,0,116,358
4144,116,243,312,47,1,0,116,359
4157,116,244,313,47,1,0,116,360
4162,116,245,314,47,1,0,116,361
4173,117,245,315,47,1,0,117,362
4196,117,246,316,47,1,0,117,363
4201,117,247,317,47,1,0,117,364
4214,117,248,318,47,1,0,117,365
4219,117,249,319,47,1,0,117,366
4232,117,250,320,47,1,0,117,367
4237,117,251,321,47,1,0,117,368
4250,117,252,321,48,0,1,117,369
4255,117,253,322,48,1,0,117,370
4268,117,254,323,48,1,0,117,371
4273,117,255,324,48,1,0,117,372
4284,118,255,325,48,1,0,118,373
4298,118,256,326,48,1,0,118,374
4303,118,257,327,48,1,0,118,375
4316,118,258,328,48,1,0,118,376
4321,118,259,329,48,1,0,118,377
4334,118,260,330,48,1,0,118,378
4339,118,261,331,48,1,0,118,379
4352,118,262,332,48,1,0,118,380
4357,118,263,333,48,1,0,118,381
4370,118,264,334,48,1,0,118,382
4375,118,265,335,48,1,0,118,383
4386,119,265,336,48,1,0,119,384
4400,119,266,337,48,1,0,119,385
4405,119,267,338,48,1,0,119,386
4418,119,268,339,48,1,0,119,387
4423,119,269,340,48,1,0,119,388
4436,119,270,341,48,1,0,119,389
4441,119,271,342,48,1,0,119,390
4454,119,272,343,48,1,0,119,391
4459,119,273,344,48,1,0,119,392
4472,119,274,345,48,1,0,119,393
4477,119,275,346,48,1,0,119,394
4488,120,275,346,49,0,1,120,395
4502,120,276,347,49,1,0,120,396
4507,120,277,348,49,1,0,120,397
4520,120,278,349,49,1,0,120,398
4525,120,279,350,49,1,0,120,399
4538,120,280,351,49,1,0,120,400
4543,120,281,352,49,1,0,120,401
4556,120,282,353,49,1,0,120,402
4561,120,283,354,49,1,0,120,403
4574,120,284,355,49,1,0,120,404
4579,120,285,356,49,1,0,120,405
4590,121,285,357,49,1,0,121,406
4604,121,286,358,49,1,0,121,407
4609,121,287,359,49,1,0,121,408
4622,121,288,360,49,1,0,121,409
4627,121,289,361,49,1,0,121,410
4640,121,290,362,49,1,0,121,411
4645,121,291,363,49,1,0,121,412
4658,121,292,364,49,1,0,121,413
4663,121,293,365,49,1,0,121,414
4676,121,294,366,49,1,0,121,415
4681,121,295,367,49,1,0,121,416
4692,122,295,368,49,1,0,122,417
4706,122,296,369,49,1,0,122,418
4711,122,297,370,49,1,0,122,419
4724,122,298,371,49,1,0,122,420
4729,122,299,372,49,1,0,122,421
4742,122,300,373,49,1,0,122,422
4747,122,301,374,49,1,0,122,423
4760,122,302,375,49,1,0,122,424
